Time (h),Temperature1 (degC), Temperature2 (degC), Temperature3 (degC), Temperature4 (degC), Temperature5 (degC), Temperature6 (degC), Temperature7 (degC), Temperature8 (degC), Temperature9 (degC), Temperature10 (degC), Temperature11 (degC), Temperature12 (degC), Temperature13 (degC), 
1233,22.141984190866197,22.81958234278386,24.726644015745478,24.21312520762268,24.78843767139614,24.44540682332024,22.377272565295755,21.92713214781935,24.642426927523672,25.616111701975342,25.689433779463116,26.42271269417023,22.90528404723409,22.98742054895456
1234,22.145423551126612,22.823178946689325,24.729973570412085,24.216789404934048,24.791933458200504,24.449039528082324,22.38133240556715,21.930759812843974,24.6434124115425,25.61961801211868,25.692890773272552,26.42618316566262,22.909075816058873,22.991113173983194
1235,22.148862911386914,22.82677555059479,24.73330312507875,24.22045360224547,24.79542924500481,24.45267223284452,22.38539224583849,21.934387477868597,24.644397895561326,25.623124322262072,25.69634776708199,26.429653637155013,22.912867584883713,22.994805799011772
1236,22.15230227164733,22.830372154500253,24.736632679745412,24.224117799556836,24.798925031809176,24.456304937606603,22.389452086109884,21.93801514289322,24.64538337958021,25.62663063240541,25.699804760891425,26.43312410864735,22.916659353708496,22.998498424040406
1237,22.155741631907745,22.833968758405774,24.73996223441202,24.22778199686826,24.802420818613484,24.459937642368743,22.393511926381166,21.941642807917788,24.646368863599037,25.630136942548802,25.70326175470086,26.43659458013974,22.92045112253328,23.00219104906904
1238,22.159180992168103,22.83756536231118,24.743291789078626,24.231446194179625,24.805916605417792,24.463570347130883,22.39757176665256,21.94527047294241,24.647354347617863,25.63364325269214,25.706718748510298,26.440065051632132,22.92424289135812,23.005883674097618
1239,22.162620352428462,22.841161966216646,24.746621343745232,24.235110391491048,24.809412392222157,24.467203051892966,22.4016316069239,21.948898137967035,24.64833983163669,25.637149562835532,25.710175742319734,26.443535523124524,22.928034660182902,23.009576299126252
1240,22.16605971268882,22.844758570122167,24.74995089841184,24.23877458880247,24.812908179026522,24.470835756655106,22.405691447195295,21.9525258029916,24.649325315655517,25.64065587297887,25.71363273612917,26.447005994616916,22.931826429007742,23.01326892415483
1241,22.169499072949236,22.84835517402763,24.753280453078503,24.242438786113837,24.81640396583083,24.47446846141719,22.409751287466634,21.956153468016225,24.650310799674344,25.644162183122262,25.717089729938664,26.450476466109308,22.935618197832525,23.016961549183463
1242,22.172938433209595,22.851951777933095,24.75661000774511,24.24610298342526,24.819899752635195,24.478101166179385,22.41381112773803,21.95978113304085,24.651296283693227,25.6476684932656,25.7205467237481,26.453946937601643,22.93940996665731,23.02065417421204
1243,22.176377793469953,22.85554838183856,24.759939562411716,24.249767180736626,24.823395539439502,24.48173387094147,22.417870968009368,21.963408798065473,24.652281767712054,25.651174803408992,25.724003717557537,26.457417409094035,22.94320173548215,23.024346799240675
